EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,Yes,Travel_Rarely,230.0,Research & Development,3.0,3.0,Life Sciences,1.0,405.0,3.0,Male,54.0,3.0,1.0,Laboratory Technician,3.0,Single,1420.0,Upto 5k,25233.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,0.0,2,3.0,0.0,0,0.0,0.0
RM302,18,18-25,No,Travel_Rarely,812.0,Sales,10.0,3.0,Medical,1.0,411.0,4.0,Female,69.0,2.0,1.0,Sales Representative,3.0,Single,1200.0,Upto 5k,9724.0,1.0,Y,No,12.0,3.0,1.0,80.0,0.0,0.0,2,3.0,0.0,0,0.0,0.0
RM458,18,18-25,Yes,Travel_Frequently,1306.0,Sales,5.0,3.0,Marketing,1.0,614.0,2.0,Male,69.0,3.0,1.0,Sales Representative,2.0,Single,1878.0,Upto 5k,8059.0,1.0,Y,Yes,14.0,3.0,4.0,80.0,0.0,0.0,3,3.0,0.0,0,0.0,0.0
RM728,18,18-25,No,Non-Travel,287.0,Research & Development,5.0,2.0,Life Sciences,1.0,1012.0,2.0,Male,73.0,3.0,1.0,Research Scientist,4.0,Single,1051.0,Upto 5k,13493.0,1.0,Y,No,15.0,3.0,4.0,80.0,0.0,0.0,2,3.0,0.0,0,0.0,0.0
RM829,18,18-25,Yes,Non-Travel,247.0,Research & Development,8.0,1.0,Medical,1.0,1156.0,3.0,Male,80.0,3.0,1.0,Laboratory Technician,3.0,Single,1904.0,Upto 5k,13556.0,1.0,Y,No,12.0,3.0,4.0,80.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0
RM973,18,18-25,No,Non-Travel,1124.0,Research & Development,1.0,3.0,Life Sciences,1.0,1368.0,4.0,Female,97.0,3.0,1.0,Laboratory Technician,4.0,Single,1611.0,Upto 5k,19305.0,1.0,Y,No,15.0,3.0,3.0,80.0,0.0,0.0,5,4.0,0.0,0,0.0,0.0
RM1154,18,18-25,Yes,Travel_Frequently,544.0,Sales,3.0,2.0,Medical,1.0,1624.0,2.0,Female,70.0,3.0,1.0,Sales Representative,4.0,Single,1569.0,Upto 5k,18420.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,0.0,0.0,2,4.0,0.0,0,0.0,0.0
RM1312,18,18-25,No,Non-Travel,1431.0,Research & Development,14.0,3.0,Medical,1.0,1839.0,2.0,Female,33.0,3.0,1.0,Research Scientist,3.0,Single,1514.0,Upto 5k,8018.0,1.0,Y,No,16.0,3.0,3.0,80.0,0.0,0.0,4,1.0,0.0,0,0.0,0.0
RM128,19,18-25,Yes,Travel_Rarely,528.0,Sales,22.0,1.0,Marketing,1.0,167.0,4.0,Male,50.0,3.0,1.0,Sales Representative,3.0,Single,1675.0,Upto 5k,26820.0,1.0,Y,Yes,19.0,3.0,4.0,80.0,0.0,0.0,2,2.0,0.0,0,0.0,0.0
RM150,19,18-25,No,Travel_Rarely,1181.0,Research & Development,3.0,1.0,Medical,1.0,201.0,2.0,Female,79.0,3.0,1.0,Laboratory Technician,2.0,Single,1483.0,Upto 5k,16102.0,1.0,Y,No,14.0,3.0,4.0,80.0,0.0,1.0,3,3.0,1.0,0,0.0,0.0
RM172,19,18-25,Yes,Travel_Frequently,602.0,Sales,1.0,1.0,Technical Degree,1.0,235.0,3.0,Female,100.0,1.0,1.0,Sales Representative,1.0,Single,2325.0,Upto 5k,20989.0,0.0,Y,No,21.0,4.0,1.0,80.0,0.0,1.0,5,4.0,0.0,0,0.0,0.0
RM178,19,18-25,Yes,Travel_Rarely,303.0,Research & Development,2.0,3.0,Life Sciences,1.0,243.0,2.0,Male,47.0,2.0,1.0,Laboratory Technician,4.0,Single,1102.0,Upto 5k,9241.0,1.0,Y,No,22.0,4.0,3.0,80.0,0.0,1.0,3,2.0,1.0,0,1.0,0.0
RM423,19,18-25,Yes,Travel_Rarely,489.0,Human Resources,2.0,2.0,Technical Degree,1.0,566.0,1.0,Male,52.0,2.0,1.0,Human Resources,4.0,Single,2564.0,Upto 5k,18437.0,1.0,Y,No,12.0,3.0,3.0,80.0,0.0,1.0,3,4.0,1.0,0,0.0,0.0
RM689,19,18-25,Yes,Travel_Rarely,419.0,Sales,9.199322033898305,3.0,Other,1.0,959.0,4.0,Male,37.0,2.0,1.0,Sales Representative,2.0,Single,2121.0,Upto 5k,9947.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,0.0,1.0,3,4.0,1.0,0,0.0,0.0
RM854,19,18-25,No,Travel_Rarely,645.0,Research & Development,9.0,2.0,Life Sciences,1.0,1193.0,3.0,Male,54.0,3.0,1.0,Research Scientist,1.0,Single,2552.0,Upto 5k,7172.0,1.0,Y,No,25.0,4.0,3.0,80.0,0.0,1.0,4,3.0,1.0,1,0.0,0.0
RM893,19,18-25,Yes,Non-Travel,504.0,Research & Development,10.0,3.0,Medical,1.0,1248.0,1.0,Female,96.0,2.0,1.0,Research Scientist,2.0,Single,1859.0,Upto 5k,6148.0,1.0,Y,Yes,25.0,4.0,2.0,80.0,0.0,1.0,2,4.0,1.0,1,0.0,0.0
RM910,19,18-25,No,Travel_Rarely,265.0,Research & Development,25.0,3.0,Life Sciences,1.0,1269.0,2.0,Female,57.0,4.0,1.0,Research Scientist,4.0,Single,2994.0,Upto 5k,21221.0,1.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,1.0,2,3.0,1.0,0,0.0,1.0
RM103,-20,18-25,Yes,Travel_Frequently,871.0,Research & Development,6.0,3.0,Life Sciences,1.0,137.0,4.0,Female,66.0,2.0,1.0,Laboratory Technician,4.0,Single,2926.0,Upto 5k,19783.0,1.0,Y,Yes,18.0,3.0,2.0,80.0,0.0,1.0,5,3.0,1.0,0,1.0,0.0
RM488,20,18-25,No,Travel_Rarely,959.0,Research & Development,1.0,3.0,Life Sciences,1.0,657.0,4.0,Female,83.0,2.0,1.0,Research Scientist,2.0,Single,2836.0,Upto 5k,11757.0,1.0,Y,No,13.0,3.0,4.0,80.0,0.0,1.0,0,4.0,1.0,0,0.0,0.0
RM514,20,18-25,Yes,Travel_Rarely,1362.0,Research & Development,10.0,1.0,Medical,1.0,701.0,4.0,Male,32.0,3.0,1.0,Research Scientist,3.0,Single,1009.0,Upto 5k,26999.0,1.0,Y,Yes,11.0,3.0,4.0,80.0,0.0,1.0,5,3.0,1.0,0,1.0,1.0
RM1254,20,18-25,Yes,Travel_Rarely,500.0,Sales,2.0,3.0,Medical,1.0,922.0,3.0,Female,49.0,2.0,1.0,Sales Representative,3.0,Single,6508.146820027064,Upto 5k,22052.0,1.0,Y,No,13.0,3.0,4.0,80.0,0.0,2.0,3,2.0,2.0,2,0.0,2.0
RM690,20,18-25,Yes,Travel_Rarely,129.0,Research & Development,4.0,3.0,Technical Degree,1.0,960.0,1.0,Male,84.0,3.0,1.0,Laboratory Technician,1.0,Unknown,2973.0,Upto 5k,13008.0,1.0,Y,No,19.0,3.0,2.0,80.0,0.0,1.0,2,3.0,1.0,0,0.0,0.0
